review_id,order_id,rating,review_date
1,16324,4,2023-06-09
2,12169,4,2023-07-26
3,14239,5,2023-11-28
4,3721,5,2024-04-18
5,23588,5,2023-05-29
6,17047,4,2024-05-09
7,8127,4,2023-11-18
8,13715,4,2023-02-25
9,22697,2,2023-07-21
10,100,3,2023-02-04
11,8307,5,2024-01-31
12,2473,5,2024-02-02
13,21062,4,2023-05-30
14,19640,2,2023-04-17
15,10652,5,2023-06-27
16,1168,4,2024-01-12
17,13497,3,2024-01-04
18,22805,3,2023-12-31
19,21135,5,2023-08-09
20,19400,5,2024-05-10
21,6644,4,2024-05-11
22,5683,4,2024-06-18
23,11945,5,2023-08-09
24,11259,5,2023-05-16
25,16148,5,2023-10-06
26,15791,4,2023-10-16
27,18869,4,2023-08-13
28,24342,4,2023-02-02
29,12313,5,2023-01-26
30,23976,4,2023-04-17
31,12962,4,2023-05-05
32,17029,4,2023-01-30
33,12557,3,2023-12-09
34,17617,4,2023-09-06
35,10115,4,2023-05-04
36,15825,3,2023-07-20
37,8284,4,2024-03-23
38,1505,5,2024-03-30
39,548,4,2023-04-12
40,2453,2,2023-10-11
41,8620,4,2024-03-16
42,23614,4,2023-06-24
43,2584,5,2023-02-02
44,2202,4,2024-07-06
45,4692,4,2023-06-21
46,21030,5,2023-03-02
47,19578,4,2023-11-29
48,11321,5,2023-01-17
49,7771,5,2024-06-30
50,15105,4,2023-05-20
51,13147,5,2023-07-10
52,9579,4,2023-11-24
53,9294,1,2024-01-27
54,17573,3,2023-11-18
55,20190,2,2023-12-10
56,11673,4,2024-01-08
57,461,3,2023-06-29
58,1712,2,2023-05-24
59,820,3,2023-04-26
60,23371,4,2023-04-17
61,4536,2,2023-08-14
62,6650,4,2023-10-03
63,23985,5,2023-01-23
64,6834,3,2023-05-19
65,1469,5,2024-01-28
66,23220,5,2023-08-18
67,16679,4,2023-11-25
68,22087,3,2023-09-02
69,20379,3,2023-01-26
70,11445,2,2023-10-21
71,9453,5,2023-10-04
72,10131,5,2023-04-10
73,13120,5,2023-06-23
74,14775,5,2024-04-22
75,15700,5,2023-11-14
76,6933,4,2023-10-23
77,16299,5,2023-04-26
78,16003,4,2023-03-31
79,9781,5,2023-11-09
80,11640,5,2023-11-30
81,108,5,2024-03-13
82,144,5,2023-07-12
83,24158,4,2023-04-10
84,19743,3,2023-03-25
85,14445,4,2024-03-27
86,3371,4,2024-05-05
87,6987,5,2023-04-12
88,5053,5,2023-08-29
89,10739,5,2023-11-28
90,1710,5,2023-05-03
91,24714,5,2024-04-05
92,18387,3,2023-11-05
93,1251,5,2023-10-14
94,10951,4,2023-05-05
95,11084,4,2023-01-13
96,16985,4,2023-09-09
97,12989,4,2023-06-04
98,23047,1,2023-02-25
99,14178,3,2024-01-31
100,18050,5,2023-09-09
101,2145,4,2024-06-29
102,4187,3,2024-01-27
103,7893,5,2024-05-06
104,10950,4,2024-05-26
105,10667,3,2024-02-25
106,9433,5,2024-04-26
107,17927,5,2024-02-09
108,19088,3,2023-10-10
109,9281,5,2023-05-13
110,21429,5,2024-06-29
111,21111,5,2023-07-08
112,22352,4,2023-03-26
113,17843,5,2023-12-25
114,22319,4,2023-05-18
115,3962,5,2023-09-14
116,13629,4,2024-07-06
117,3975,4,2023-06-21
118,12254,4,2023-12-01
119,5248,3,2024-05-18
120,20536,4,2024-03-11
121,18091,4,2023-07-12
122,8998,5,2023-02-03
123,21465,5,2023-09-25
124,16511,2,2023-01-14
125,18688,4,2023-06-15
126,18060,1,2023-10-08
127,12261,4,2023-11-01
128,14027,5,2024-02-02
129,5044,3,2023-10-02
130,2389,2,2023-06-11
131,6011,5,2023-02-27
132,18158,5,2024-07-03
133,12327,2,2023-06-30
134,4252,4,2023-05-16
135,24850,3,2023-04-20
136,16463,4,2023-11-25
137,1747,3,2023-07-15
138,13435,3,2023-08-31
139,7522,3,2024-01-25
140,9285,4,2023-06-11
141,3772,1,2024-01-17
142,12229,4,2023-12-11
143,21227,5,2023-10-09
144,18856,5,2023-02-21
145,18112,5,2023-12-10
146,2220,5,2023-08-26
147,12425,3,2023-09-29
148,12974,4,2023-10-17
149,21128,4,2024-04-06
150,16732,4,2023-09-27
151,12983,2,2023-03-30
152,23844,5,2023-02-22
153,17295,4,2023-11-18
154,3934,5,2024-04-17
155,20517,5,2023-08-22
156,13400,4,2023-05-17
157,4655,5,2024-04-30
158,21497,5,2024-03-28
159,17437,4,2023-04-28
160,16984,4,2023-10-29
161,2578,1,2023-05-27
162,19073,4,2023-02-03
163,12243,5,2023-09-02
164,9996,5,2024-01-08
165,22192,4,2023-07-23
166,12358,3,2023-01-27
167,22653,4,2023-05-07
168,23721,5,2024-06-13
169,12747,5,2024-02-23
170,6649,5,2023-01-29
171,23114,2,2023-01-08
172,12382,4,2023-11-28
173,4939,2,2023-01-28
174,8292,5,2023-07-04
175,19700,4,2023-01-16
176,24757,5,2023-11-02
177,1532,5,2023-02-15
178,10034,1,2024-03-28
179,17830,2,2023-04-21
180,10459,4,2023-08-22
181,21563,1,2023-06-29
182,17,3,2023-06-03
183,19543,4,2023-03-20
184,20770,4,2024-03-10
185,5751,2,2024-02-18
186,5309,5,2023-10-02
187,9252,5,2024-05-25
188,14766,5,2023-10-31
189,8602,5,2024-03-21
190,5964,5,2024-02-28
191,10783,5,2023-01-16
192,17319,5,2023-03-02
193,19659,5,2024-05-02
194,17191,5,2023-06-05
195,10402,4,2024-07-06
196,1314,5,2023-06-30
197,16829,4,2023-12-11
198,12316,1,2023-12-28
199,10026,4,2023-05-24
200,15003,1,2023-07-14
201,23123,3,2023-05-31
202,21742,5,2024-07-01
203,8076,4,2023-07-25
204,9237,2,2024-04-10
205,16212,5,2024-03-02
206,2483,5,2024-04-05
207,20796,1,2023-12-23
208,10010,5,2024-04-05
209,10764,5,2023-06-23
210,7451,5,2024-04-01
211,8121,3,2024-03-06
212,18212,1,2024-06-27
213,17608,5,2024-02-02
214,22152,4,2024-04-15
215,10087,4,2023-07-07
216,15107,4,2023-07-18
217,18024,4,2024-06-20
218,18880,1,2023-09-01
219,23550,5,2023-05-29
220,24049,5,2023-11-26
221,16923,5,2023-10-23
222,16725,1,2023-02-24
223,23484,3,2023-10-23
224,11310,4,2024-05-26
225,2164,4,2023-11-19
226,1833,4,2023-10-27
227,20512,4,2023-12-06
228,2681,4,2023-11-23
229,10443,5,2024-04-05
230,151,3,2024-03-25
231,6429,1,2024-02-14
232,20075,5,2024-03-31
233,6329,4,2023-03-26
234,14850,3,2023-08-03
235,2188,4,2023-03-08
236,7704,2,2023-03-31
237,5023,5,2024-06-30
238,22482,3,2023-10-28
239,13915,4,2024-03-31
240,4412,4,2023-12-30
241,24852,5,2023-12-23
242,17768,5,2023-03-26
243,586,4,2023-07-18
244,21232,4,2024-02-28
245,19615,5,2023-10-26
246,6970,5,2023-04-15
247,6774,4,2023-03-29
248,3921,1,2024-02-20
249,22041,1,2023-07-30
250,23078,4,2024-03-05
251,14145,4,2023-08-23
252,21507,4,2023-12-19
253,6937,2,2024-03-04
254,1274,4,2024-05-12
255,3804,5,2023-05-24
256,20128,4,2023-03-22
257,15334,5,2023-06-13
258,172,3,2024-06-19
259,15251,4,2023-05-03
260,16917,3,2023-10-29
261,15826,5,2024-03-18
262,11956,4,2023-04-04
263,20132,5,2023-01-16
